ID	DOCULECT	CONCEPT	TOKENS
1	idssegmented-bulgarian	world	s v j a t
2	idssegmented-bulgarian	land	z e m j a
3	idssegmented-bulgarian	earthsoil	z e m j a
4	idssegmented-bulgarian	earthsoil	p o tʃ v a
5	idssegmented-bulgarian	dust	p r a x
6	idssegmented-bulgarian	mud	k a l
7	idssegmented-bulgarian	sand	p j a s ə k
8	idssegmented-bulgarian	mountainorhill	p l a n i n a
9	idssegmented-bulgarian	mountainorhill	x ə l m
10	idssegmented-bulgarian	precipice	s t r ə́ m n a + s k a l a
11	idssegmented-bulgarian	precipice	u r v a
12	idssegmented-bulgarian	precipice	p r o p a s t
13	idssegmented-bulgarian	precipice	k a n a r a
14	idssegmented-bulgarian	plain	r a v n i n a
15	idssegmented-bulgarian	plain	p o l e
16	idssegmented-bulgarian	valley	d o l i n a
17	idssegmented-bulgarian	island	o s t r o v
18	idssegmented-bulgarian	mainland	z e m j a
19	idssegmented-bulgarian	mainland	s u ʃ a
20	idssegmented-bulgarian	mainland	k o n t i n e n t
21	idssegmented-bulgarian	shore	b r j a g
22	idssegmented-bulgarian	cave	p e ʃ t e r a
23	idssegmented-bulgarian	water	v o d a
24	idssegmented-bulgarian	sea	m o r e
25	idssegmented-bulgarian	calmofsea	s p o k o j s t v i e
26	idssegmented-bulgarian	calmofsea	z a t i ʃ i e
27	idssegmented-bulgarian	roughofsea	r a z v ə l n u v a n
28	idssegmented-bulgarian	foam	p j a n a
29	idssegmented-bulgarian	ocean	o k e a n
30	idssegmented-bulgarian	lake	e z e r o
31	idssegmented-bulgarian	bay	z a l i v
32	idssegmented-bulgarian	lagoon	l a g u n a
33	idssegmented-bulgarian	reef	r i f
34	idssegmented-bulgarian	cape	n o s
35	idssegmented-bulgarian	wave	v ə l n a
36	idssegmented-bulgarian	tide	p r i l i v
37	idssegmented-bulgarian	tide	o t l i v
38	idssegmented-bulgarian	lowtide	n a j + n i s k a t a + t o tʃ k a + n a + o t l i v a
39	idssegmented-bulgarian	hightide	n a j + v i s o k a t a + t o tʃ k a + n a + p r i l i v a
40	idssegmented-bulgarian	flowingbodyofwater	r e k a
41	idssegmented-bulgarian	flowingbodyofwater	p o t o k
42	idssegmented-bulgarian	flowingbodyofwater	r u tʃ e j
43	idssegmented-bulgarian	whirlpool	v o d o + v ə r t e ʒ
44	idssegmented-bulgarian	whirlpool	v ə r t o p
45	idssegmented-bulgarian	springorwell	i z v o r
46	idssegmented-bulgarian	springorwell	k l a d e n e tʃ
47	idssegmented-bulgarian	swamp	b l a t o
48	idssegmented-bulgarian	swamp	t r e s a v i ʃ t e
49	idssegmented-bulgarian	waterfall	v o d o p a d
50	idssegmented-bulgarian	forest	g o r a
51	idssegmented-bulgarian	tree	d ə r v o
52	idssegmented-bulgarian	wood	d ə r v o
53	idssegmented-bulgarian	stoneorrock	k a m ə k
54	idssegmented-bulgarian	stoneorrock	s k a l a
55	idssegmented-bulgarian	stoneorrock	k a n a r a
56	idssegmented-bulgarian	earthquake	z e m e + t r e s e n i e
57	idssegmented-bulgarian	sky	n e b e
58	idssegmented-bulgarian	sun	s l ə́ n tʃ e
59	idssegmented-bulgarian	moon	l u n a
60	idssegmented-bulgarian	star	z v e z d a
61	idssegmented-bulgarian	lightning	m ə́ l n i j a
62	idssegmented-bulgarian	lightning	s v e t + k a v i tʃ a
63	idssegmented-bulgarian	thunder	g r ə m
64	idssegmented-bulgarian	thunder	g r ə m o t e v i tʃ a
65	idssegmented-bulgarian	boltoflightning	g r ə m
66	idssegmented-bulgarian	storm	b u r j a
67	idssegmented-bulgarian	rainbow	d ə g a
68	idssegmented-bulgarian	lightradiation	s v e t l i n a
69	idssegmented-bulgarian	darkness	t ə m n i n a
70	idssegmented-bulgarian	darkness	m r a k
71	idssegmented-bulgarian	shade	s j a n k a
72	idssegmented-bulgarian	dew	r o s a
73	idssegmented-bulgarian	air	v ə́ z d u x
74	idssegmented-bulgarian	wind	v j a t ə r
75	idssegmented-bulgarian	cloud	o b l a k
76	idssegmented-bulgarian	fog	m ə g l a
77	idssegmented-bulgarian	rainprecipitation	d ə ʒ d
78	idssegmented-bulgarian	snow	s n j a g
79	idssegmented-bulgarian	ice	l e d
80	idssegmented-bulgarian	weather	v r e m e
81	idssegmented-bulgarian	fire	o g ə n
82	idssegmented-bulgarian	flame	p l a m ə k
83	idssegmented-bulgarian	smokeexhaust	d i m
84	idssegmented-bulgarian	ash	p e p e l
85	idssegmented-bulgarian	embers	ʒ a r
86	idssegmented-bulgarian	embers	ʒ a r a v a
87	idssegmented-bulgarian	burnsomething	i z g a r j a m
88	idssegmented-bulgarian	burnsomething	i z g o r j a
89	idssegmented-bulgarian	burning	g o r j a
90	idssegmented-bulgarian	lightignite	p a l j a
91	idssegmented-bulgarian	lightignite	z a p a l v a m
92	idssegmented-bulgarian	lightignite	z a p a l j a
93	idssegmented-bulgarian	match	k i b r i t
94	idssegmented-bulgarian	match	k l e tʃ k a + k i b r i t
95	idssegmented-bulgarian	firewood	d ə r v a + z a + g o r e n e
96	idssegmented-bulgarian	charcoal	d ə́ r v e n i + v ə́ g l i ʃ t a
97	idssegmented-bulgarian	person	tʃ o v e k
98	idssegmented-bulgarian	man	m ə́ ʒ
99	idssegmented-bulgarian	woman	ʒ e n a
100	idssegmented-bulgarian	maleofperson	m ə́ ʒ k i
101	idssegmented-bulgarian	femaleofperson	ʒ e n s k i
102	idssegmented-bulgarian	boy	m o m tʃ e
103	idssegmented-bulgarian	youngman	j u n o ʃ a
104	idssegmented-bulgarian	girl	m o m i tʃ e
105	idssegmented-bulgarian	youngwoman	d e v o j k a
106	idssegmented-bulgarian	childyounghuman	d e t e
107	idssegmented-bulgarian	baby	b e b e
108	idssegmented-bulgarian	baby	p e l e n a tʃ e
109	idssegmented-bulgarian	baby	m l a d e n e tʃ
110	idssegmented-bulgarian	baby	k ə r m a tʃ e
111	idssegmented-bulgarian	husband	s ə p r u g
112	idssegmented-bulgarian	husband	m ə́ ʒ
113	idssegmented-bulgarian	wife	s ə p r u g a
114	idssegmented-bulgarian	wife	ʒ e n a
115	idssegmented-bulgarian	marry	o ʒ e n v a m + s e
116	idssegmented-bulgarian	marry	o m ə́ ʒ v a m + s e
117	idssegmented-bulgarian	marriageorwedding	b r a k
118	idssegmented-bulgarian	marriageorwedding	ʒ e n i t b a
119	idssegmented-bulgarian	marriageorwedding	b r a k o s ə tʃ e t a n i e
120	idssegmented-bulgarian	marriageorwedding	s v a t b a
121	idssegmented-bulgarian	marriageorwedding	v e n tʃ a v a n e
122	idssegmented-bulgarian	marriageorwedding	v e n tʃ a v k a
123	idssegmented-bulgarian	divorce	r a z v o d
124	idssegmented-bulgarian	father	b a ʃ t a
125	idssegmented-bulgarian	mother	m a j k a
126	idssegmented-bulgarian	parents	r o d i t e l i
127	idssegmented-bulgarian	marriedman	o ʒ e n e n + m ə́ ʒ
128	idssegmented-bulgarian	marriedwoman	o m ə́ ʒ e n a + ʒ e n a
129	idssegmented-bulgarian	son	s i n
130	idssegmented-bulgarian	daughter	d ə ʃ t e r j a
131	idssegmented-bulgarian	childdescendant	d e t e
132	idssegmented-bulgarian	childdescendant	p o t o m s t v o
133	idssegmented-bulgarian	childdescendant	d e tʃ a
134	idssegmented-bulgarian	childdescendant	p o t o m ə k
135	idssegmented-bulgarian	childdescendant	p o t o m k a
136	idssegmented-bulgarian	brother	b r a t
137	idssegmented-bulgarian	olderbrother	b a t e
